symbol,horizon,model,control_seed,bin,day,latency,long_crossed_bps,prediction_bps,rows,short_crossed_bps
KGHM,10,linear,,9.0,2017-12-29,5,-8.599594847419965,0.4960398977905856,2213,-9.610044075677289
KGHM,10,linear,,10.0,2017-12-29,5,-6.128405723723426,0.6415769199246687,1348,-7.027014475823611
KGHM,10,xgboost,,1.0,all,0,-7.372100373131526,-0.785640317315108,8718,-5.839260591017532
KGHM,10,xgboost,,2.0,all,0,-9.549599293753671,-0.40914114756150877,8727,-8.768017333434106
KGHM,10,xgboost,,3.0,all,0,-9.39550421207271,-0.22673666766805536,8706,-8.760253657918623
KGHM,10,xgboost,,4.0,all,0,-10.437824972887666,-0.0921135784728937,8736,-9.95980201478539
KGHM,10,xgboost,,5.0,all,0,-10.56667861163287,0.014446346377420196,8699,-10.377751977247383
KGHM,10,xgboost,,6.0,all,0,-10.267209844484597,0.11797149873193388,8720,-10.204830260916236
KGHM,10,xgboost,,7.0,all,0,-9.630455626696715,0.22995749828072642,8711,-10.08652294653814
KGHM,10,xgboost,,8.0,all,0,-10.252123222151285,0.3540195038374061,8732,-10.804163947597846
KGHM,10,xgboost,,9.0,all,0,-7.905250120138845,0.5046775504034113,8703,-8.901019548433881
KGHM,10,xgboost,,10.0,all,0,-5.7122538892382755,0.8338483032309282,8716,-7.36960227366227
KGHM,10,xgboost,,1.0,2017-12-27,0,-6.395114733001519,-0.7980063725402174,3343,-5.164718494439846
KGHM,10,xgboost,,2.0,2017-12-27,0,-7.4354664903415335,-0.40797997282386633,2509,-6.938437549865821
KGHM,10,xgboost,,3.0,2017-12-27,0,-8.105350185845058,-0.22518642270903558,1972,-7.695664340500756
KGHM,10,xgboost,,4.0,2017-12-27,0,-8.092618981623126,-0.09211236672631487,1868,-7.847008323797173
KGHM,10,xgboost,,5.0,2017-12-27,0,-8.641959771445327,0.015645850176472804,1928,-8.614360462494131
KGHM,10,xgboost,,6.0,2017-12-27,0,-8.614674726462807,0.12274247735080406,1856,-8.777315907565313
KGHM,10,xgboost,,7.0,2017-12-27,0,-7.250837846589066,0.23424936341626787,1693,-7.971699560088602
KGHM,10,xgboost,,8.0,2017-12-27,0,-8.038516773972182,0.3536502749385991,1947,-8.570322552515204
KGHM,10,xgboost,,9.0,2017-12-27,0,-7.235627398840719,0.5032494021082232,2172,-8.030931823020206
KGHM,10,xgboost,,10.0,2017-12-27,0,-4.945884286124177,0.8635456761365089,3101,-6.25693779292139
KGHM,10,xgboost,,1.0,2017-12-28,0,-8.10606456354829,-0.7709533491438177,2812,-6.399966584538927
KGHM,10,xgboost,,2.0,2017-12-28,0,-9.180151163201327,-0.4159352451696724,2672,-8.079180910191797
KGHM,10,xgboost,,3.0,2017-12-28,0,-9.350427900967523,-0.22165853160257917,3130,-8.652742851664156
KGHM,10,xgboost,,4.0,2017-12-28,0,-10.333208565657797,-0.09400076259809889,3344,-9.569675633751332
KGHM,10,xgboost,,5.0,2017-12-28,0,-9.994730994895253,0.014738706942863802,3376,-9.634525336157877
KGHM,10,xgboost,,6.0,2017-12-28,0,-9.933331335555332,0.11378926798455083,3813,-9.736625453800032
KGHM,10,xgboost,,7.0,2017-12-28,0,-9.359068133348215,0.22765045550423463,4033,-9.69840340508126
KGHM,10,xgboost,,8.0,2017-12-28,0,-10.325800396958531,0.35340217830127457,3723,-10.79809675312007
KGHM,10,xgboost,,9.0,2017-12-28,0,-7.934783279338222,0.5087526680762241,4289,-8.825044738813439
KGHM,10,xgboost,,10.0,2017-12-28,0,-6.06757279448385,0.8223107220304064,3893,-7.8482105777051165
KGHM,10,xgboost,,1.0,2017-12-29,0,-7.841142781052975,-0.7856247230428204,2563,-6.103907089291836
KGHM,10,xgboost,,2.0,2017-12-29,0,-11.323858912647333,-0.4048432227469943,3546,-10.581606335091264
KGHM,10,xgboost,,3.0,2017-12-29,0,-10.140585397833023,-0.23199517181459464,3604,-9.436135721604673
KGHM,10,xgboost,,4.0,2017-12-29,0,-11.78024326388053,-0.09032343086447232,3524,-11.449949924247333
KGHM,10,xgboost,,5.0,2017-12-29,0,-12.228461550657254,0.013474431033234325,3395,-12.11823856951909
KGHM,10,xgboost,,6.0,2017-12-29,0,-11.689754562149538,0.1202959528529265,3051,-11.65836404307074
KGHM,10,xgboost,,7.0,2017-12-29,0,-11.346770086461124,0.230640304258321,2985,-11.810369547527978
KGHM,10,xgboost,,8.0,2017-12-29,0,-11.570082605821217,0.35500487014602633,3062,-12.231948846770495
KGHM,10,xgboost,,9.0,2017-12-29,0,-8.497468153525734,0.4982653106168165,2242,-9.889282928478739
