breakeven_shortfall_bps,cohort,common_rows,control_seed,coverage,crossed_bps,entry_half_spread_bps,exit_half_spread_bps,gross_midpoint_bps,horizon,latency,max_identity_error_bps,model,period,prediction_rows,selected_rows,symbol,undefined_reason,unit
9.639451985028382,monthly,862980,,5.2144893276785095e-05,-9.639451985028382,4.9514903919684965,4.9634282713589295,0.2754666782990392,20,5,1.3784529073745944e-12,linear,2017-06,862980,45,PKNORLEN,,bp
5.48399161189636,monthly,862980,,0.06699691765741964,-5.48399161189636,3.3343997940060293,4.004616029106855,1.8550242112165214,20,0,1.3784529073745944e-12,xgboost,2017-06,862980,57817,PKNORLEN,,bp
6.035601087957528,monthly,862980,,0.06699691765741964,-6.035601087957528,3.5731207379652434,4.0046093168469525,1.5421289668546634,20,1,1.3784529073745944e-12,xgboost,2017-06,862980,57817,PKNORLEN,,bp
6.832583312999473,monthly,862980,,0.06699691765741964,-6.832583312999473,3.7529627467930857,4.00458570544911,0.9249651392427208,20,5,1.3784529073745944e-12,xgboost,2017-06,862980,57817,PKNORLEN,,bp
,monthly,862980,7.0,0.0,,,,,20,0,1.3784529073745944e-12,xgboost,2017-06,862980,0,PKNORLEN,no_threshold_selected_rows,bp
,monthly,862980,7.0,0.0,,,,,20,1,1.3784529073745944e-12,xgboost,2017-06,862980,0,PKNORLEN,no_threshold_selected_rows,bp
,monthly,862980,7.0,0.0,,,,,20,5,1.3784529073745944e-12,xgboost,2017-06,862980,0,PKNORLEN,no_threshold_selected_rows,bp
3.9510568106980712,monthly,1013895,,0.010928153309760873,-3.9510568106980712,2.213575614577638,3.29534222576943,1.5578610296489994,20,0,2.219557870830613e-12,linear,2017-09,1013895,11080,PKNORLEN,,bp
4.463359379319315,monthly,1013895,,0.010928153309760873,-4.463359379319315,2.4730404627975955,3.2953073560949857,1.3049884395732674,20,1,2.219557870830613e-12,linear,2017-09,1013895,11080,PKNORLEN,,bp
5.303674945313445,monthly,1013895,,0.010928153309760873,-5.303674945313445,2.7964331833862563,3.295237977494663,0.7879962155674713,20,5,2.219557870830613e-12,linear,2017-09,1013895,11080,PKNORLEN,,bp
4.842902772502217,monthly,1013895,,0.07732260243910859,-4.842902772502217,3.0331225904044827,3.558874672413251,1.7490944903155203,20,0,2.219557870830613e-12,xgboost,2017-09,1013895,78397,PKNORLEN,,bp
5.2868006531650495,monthly,1013895,,0.07732260243910859,-5.2868006531650495,3.188883441253573,3.5588745078256756,1.460957295914199,20,1,2.219557870830613e-12,xgboost,2017-09,1013895,78397,PKNORLEN,,bp
6.025321250633538,monthly,1013895,,0.07732260243910859,-6.025321250633538,3.3329247002176823,3.5588792380681293,0.8664826876522761,20,5,2.219557870830613e-12,xgboost,2017-09,1013895,78397,PKNORLEN,,bp
4.518096077894499,monthly,1041313,,0.018123273213721522,-4.518096077894499,2.4350610373887753,3.8525787381655916,1.7695436976598806,20,0,2.220446049250313e-12,linear,2017-11,1041313,18872,PKNORLEN,,bp
5.085925129689525,monthly,1041313,,0.018123273213721522,-5.085925129689525,2.7249816508853795,3.85255213406906,1.49160865526492,20,1,2.220446049250313e-12,linear,2017-11,1041313,18872,PKNORLEN,,bp
6.029039767639979,monthly,1041313,,0.018123273213721522,-6.029039767639979,3.1112311212315156,3.8525171252571018,0.9347084788486361,20,5,2.220446049250313e-12,linear,2017-11,1041313,18872,PKNORLEN,,bp
5.472343406408313,monthly,1041313,,0.08590308581569614,-5.472343406408313,3.1493865793708036,3.9486163030435244,1.6256594760060186,20,0,2.220446049250313e-12,xgboost,2017-11,1041313,89452,PKNORLEN,,bp
5.962423761875915,monthly,1041313,,0.08590308581569614,-5.962423761875915,3.3498899179250765,3.948615493851216,1.336081649900381,20,1,2.220446049250313e-12,xgboost,2017-11,1041313,89452,PKNORLEN,,bp
6.766162667717728,monthly,1041313,,0.08590308581569614,-6.766162667717728,3.576205049568976,3.948633532263283,0.758675914114531,20,5,2.220446049250313e-12,xgboost,2017-11,1041313,89452,PKNORLEN,,bp
