model,horizon,latency,metric,expected,defined,mean,median,positive,available_case_mean,cohort,mode
linear,50,1,crossed_bps,5,5,-5.921289405247618,-6.053197422059694,0,-5.921289405247618,later,moving_exit
linear,50,5,crossed_bps,5,5,-6.2514751544635665,-6.333790460185303,0,-6.2514751544635665,later,moving_exit
xgboost,10,0,crossed_bps,5,5,-4.3826194241213505,-4.406055656899838,0,-4.3826194241213505,later,moving_exit
xgboost,10,1,crossed_bps,5,5,-5.17689768402626,-5.031006542954961,0,-5.17689768402626,later,moving_exit
xgboost,10,5,crossed_bps,5,5,-5.666953779995426,-5.481700963037462,0,-5.666953779995426,later,moving_exit
xgboost,20,0,crossed_bps,5,5,-4.519463311640908,-4.599169393128873,0,-4.519463311640908,later,moving_exit
xgboost,20,1,crossed_bps,5,5,-4.926715813837055,-4.926638475189321,0,-4.926715813837055,later,moving_exit
xgboost,20,5,crossed_bps,5,5,-5.427258942907019,-5.404884354394924,0,-5.427258942907019,later,moving_exit
xgboost,50,0,crossed_bps,5,5,-6.259268145071926,-6.105331291033697,0,-6.259268145071926,later,moving_exit
xgboost,50,1,crossed_bps,5,5,-6.426427271723173,-6.257813582320361,0,-6.426427271723173,later,moving_exit
xgboost,50,5,crossed_bps,5,5,-6.743721911061587,-6.5278602220295685,0,-6.743721911061587,later,moving_exit
linear,10,0,coverage,5,5,0.00019996345619399482,2.038008865338564e-05,4,0.00019996345619399482,later,moving_exit
linear,10,1,coverage,5,5,0.00019996345619399482,2.038008865338564e-05,4,0.00019996345619399482,later,moving_exit
linear,10,5,coverage,5,5,0.00019996345619399482,2.038008865338564e-05,4,0.00019996345619399482,later,moving_exit
linear,20,0,coverage,5,5,0.03909689256229542,0.0235462004994648,5,0.03909689256229542,later,moving_exit
linear,20,1,coverage,5,5,0.03909689256229542,0.0235462004994648,5,0.03909689256229542,later,moving_exit
linear,20,5,coverage,5,5,0.03909689256229542,0.0235462004994648,5,0.03909689256229542,later,moving_exit
linear,50,0,coverage,5,5,0.24786152410651469,0.2388663176810688,5,0.24786152410651469,later,moving_exit
linear,50,1,coverage,5,5,0.24786152410651469,0.2388663176810688,5,0.24786152410651469,later,moving_exit
linear,50,5,coverage,5,5,0.24786152410651469,0.2388663176810688,5,0.24786152410651469,later,moving_exit
xgboost,10,0,coverage,5,5,0.0225004779682466,0.027798440923218,5,0.0225004779682466,later,moving_exit
xgboost,10,1,coverage,5,5,0.0225004779682466,0.027798440923218,5,0.0225004779682466,later,moving_exit
xgboost,10,5,coverage,5,5,0.0225004779682466,0.027798440923218,5,0.0225004779682466,later,moving_exit
xgboost,20,0,coverage,5,5,0.08430725482139415,0.0961520819530095,5,0.08430725482139415,later,moving_exit
xgboost,20,1,coverage,5,5,0.08430725482139415,0.0961520819530095,5,0.08430725482139415,later,moving_exit
xgboost,20,5,coverage,5,5,0.08430725482139415,0.0961520819530095,5,0.08430725482139415,later,moving_exit
xgboost,50,0,coverage,5,5,0.2582850243053164,0.3009686077722021,5,0.2582850243053164,later,moving_exit
xgboost,50,1,coverage,5,5,0.2582850243053164,0.3009686077722021,5,0.2582850243053164,later,moving_exit
xgboost,50,5,coverage,5,5,0.2582850243053164,0.3009686077722021,5,0.2582850243053164,later,moving_exit
linear,20,0,gross_midpoint_bps,5,5,1.4663760637051493,1.1573317641244425,4,1.4663760637051493,later,fixed_exit
linear,20,1,gross_midpoint_bps,5,5,0.5581242957299569,0.7514154677557128,4,0.5581242957299569,later,fixed_exit
linear,20,5,gross_midpoint_bps,5,5,0.2989954893722838,0.5701254275943624,4,0.2989954893722838,later,fixed_exit
xgboost,20,0,gross_midpoint_bps,5,5,1.2577203801202832,1.194107270216609,5,1.2577203801202832,later,fixed_exit
xgboost,20,1,gross_midpoint_bps,5,5,1.0256927499634596,1.0358468062864112,5,1.0256927499634596,later,fixed_exit
xgboost,20,5,gross_midpoint_bps,5,5,0.6225722451156753,0.6052133468583767,5,0.6225722451156753,later,fixed_exit
linear,20,0,entry_half_spread_bps,5,5,2.255258727067381,2.41770992927231,5,2.255258727067381,later,fixed_exit
linear,20,1,entry_half_spread_bps,5,5,3.2432839982630064,2.9354279856559007,5,3.2432839982630064,later,fixed_exit
linear,20,5,entry_half_spread_bps,5,5,3.3408363034560664,3.206563893249275,5,3.3408363034560664,later,fixed_exit
xgboost,20,0,entry_half_spread_bps,5,5,2.5791526681370147,2.585411989382454,5,2.5791526681370147,later,fixed_exit
xgboost,20,1,entry_half_spread_bps,5,5,2.7699920233788133,2.7420677895708208,5,2.7699920233788133,later,fixed_exit
xgboost,20,5,entry_half_spread_bps,5,5,2.9216338725963746,2.8857092578488603,5,2.9216338725963746,later,fixed_exit
