task_id,symbol,period,model,feature_group,spread_bin,imbalance_bin,rows,ic,undefined_reason
95f6bef59823a21a4fb6f389abf65c1fb451427daa2eb7eb736a98e274a1f0ad,KGHM,2017-06,xgboost,F1,1,2,78250,0.0813360128985397,
95f6bef59823a21a4fb6f389abf65c1fb451427daa2eb7eb736a98e274a1f0ad,KGHM,2017-06,xgboost,F1,1,3,88666,0.1363454218651279,
95f6bef59823a21a4fb6f389abf65c1fb451427daa2eb7eb736a98e274a1f0ad,KGHM,2017-06,xgboost,F1,2,1,104537,0.1114128031300739,
95f6bef59823a21a4fb6f389abf65c1fb451427daa2eb7eb736a98e274a1f0ad,KGHM,2017-06,xgboost,F1,2,2,125588,0.060848963925223,
95f6bef59823a21a4fb6f389abf65c1fb451427daa2eb7eb736a98e274a1f0ad,KGHM,2017-06,xgboost,F1,2,3,115687,0.0953303752108246,
95f6bef59823a21a4fb6f389abf65c1fb451427daa2eb7eb736a98e274a1f0ad,KGHM,2017-06,xgboost,F1,3,1,116230,0.0971522457839597,
95f6bef59823a21a4fb6f389abf65c1fb451427daa2eb7eb736a98e274a1f0ad,KGHM,2017-06,xgboost,F1,3,2,140844,0.0667011368998583,
95f6bef59823a21a4fb6f389abf65c1fb451427daa2eb7eb736a98e274a1f0ad,KGHM,2017-06,xgboost,F1,3,3,151044,0.0820704621713867,
cc7fe3b0e11161c8eb16feabfa8c34515d203d5dc777028ca3ae21b668be6772,KGHM,2017-06,xgboost,F2,1,1,93719,0.1375382455977746,
cc7fe3b0e11161c8eb16feabfa8c34515d203d5dc777028ca3ae21b668be6772,KGHM,2017-06,xgboost,F2,1,2,78250,0.0903160758243469,
cc7fe3b0e11161c8eb16feabfa8c34515d203d5dc777028ca3ae21b668be6772,KGHM,2017-06,xgboost,F2,1,3,88666,0.1373286595547402,
cc7fe3b0e11161c8eb16feabfa8c34515d203d5dc777028ca3ae21b668be6772,KGHM,2017-06,xgboost,F2,2,1,104537,0.1013140590403258,
cc7fe3b0e11161c8eb16feabfa8c34515d203d5dc777028ca3ae21b668be6772,KGHM,2017-06,xgboost,F2,2,2,125588,0.0606947458082964,
cc7fe3b0e11161c8eb16feabfa8c34515d203d5dc777028ca3ae21b668be6772,KGHM,2017-06,xgboost,F2,2,3,115687,0.0930178090085336,
cc7fe3b0e11161c8eb16feabfa8c34515d203d5dc777028ca3ae21b668be6772,KGHM,2017-06,xgboost,F2,3,1,116230,0.0914235918629984,
cc7fe3b0e11161c8eb16feabfa8c34515d203d5dc777028ca3ae21b668be6772,KGHM,2017-06,xgboost,F2,3,2,140844,0.060413488340789,
cc7fe3b0e11161c8eb16feabfa8c34515d203d5dc777028ca3ae21b668be6772,KGHM,2017-06,xgboost,F2,3,3,151044,0.0661002847907447,
8f6f138d40ea4a2f0354246f4c3e962559c240eab9ffa7232b2c66e9708181ab,KGHM,2017-06,xgboost,F3,1,1,93719,0.1750149744033781,
8f6f138d40ea4a2f0354246f4c3e962559c240eab9ffa7232b2c66e9708181ab,KGHM,2017-06,xgboost,F3,1,2,78250,0.1488707755695139,
8f6f138d40ea4a2f0354246f4c3e962559c240eab9ffa7232b2c66e9708181ab,KGHM,2017-06,xgboost,F3,1,3,88666,0.1912445079706959,
8f6f138d40ea4a2f0354246f4c3e962559c240eab9ffa7232b2c66e9708181ab,KGHM,2017-06,xgboost,F3,2,1,104537,0.126961561387895,
8f6f138d40ea4a2f0354246f4c3e962559c240eab9ffa7232b2c66e9708181ab,KGHM,2017-06,xgboost,F3,2,2,125588,0.0907385028492674,
8f6f138d40ea4a2f0354246f4c3e962559c240eab9ffa7232b2c66e9708181ab,KGHM,2017-06,xgboost,F3,2,3,115687,0.1241085357643241,
