adverse_before_fill,control_seed,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions
0.1750901192,7.0,1013935,0.1288889327,0.1629078787,165178,50,retain,0,-0.1990998431,-0.5308589518,165175,165178,-0.3799039574,165178,-0.6771631961,165178,28.0352952572,557.8265510117,28.0,373.0,xgboost,2017-06,0.6866751813,1013935,84.0,1217.0,0.0093457667,6.2235598467,5.5597786414,165175,165178,5.8618626117,165178,5.2672958632,165178,KGHM,0.8370921213,0
0.1296227076,,1013935,0.0846109465,0.1072573686,108752,50,retain,0,-0.2434355738,-0.7232499789,108749,108752,-0.5208259806,108749,-0.8571011005,108752,29.8651243196,827.2967576817,31.0,628.0,xgboost,2017-06,0.7796199954,1013935,191.0,1577.0,0.0061463506,5.9903664972,5.0304893001,108749,108752,5.4353693724,108749,4.7629946744,108752,KGHM,0.8927426314,0
0.132792536,,1013935,0.0853506388,0.1085187907,110031,50,retain,1,-0.2243922132,-0.713127426,110027,110031,-0.5169889931,110027,-0.8473643091,107407,29.3919713535,830.93226193,30.0,633.0,linear,2017-06,0.7757647186,1013935,188.0,1581.0,0.0060921065,5.6999815157,4.7222155361,110027,110031,5.114507763,110027,4.4148266776,107407,KGHM,0.8914812093,0
0.1749372494,7.0,1013935,0.1284036945,0.1623526163,164615,50,retain,1,-0.2004187121,-0.532363428,164612,164615,-0.3817770204,164615,-0.6706499309,161068,28.0686024967,557.8099671083,28.0,373.0,xgboost,2017-06,0.6873142756,1013935,84.0,1219.0,0.0093447805,6.2297935504,5.5656397784,164612,164615,5.8669881989,164615,5.2570940761,161068,KGHM,0.8376473837,0
0.1325548482,,1013935,0.0870262887,0.1104587572,111998,50,retain,1,-0.2362347744,-0.7102972102,111994,111998,-0.5128599937,111994,-0.8370338637,109277,29.6008768014,815.1566895314,30.0,618.0,xgboost,2017-06,0.774155148,1013935,180.0,1566.0,0.0062637151,5.9768572334,5.0284244913,111994,111998,5.4233315277,111994,4.7374615388,109277,KGHM,0.8895412428,0
0.1423868394,,1013935,0.0932268834,0.118978041,120636,50,retain,5,-0.2178391427,-0.6842105376,120628,120636,-0.4930124984,120628,-0.7656710244,106738,28.7424234888,800.5732103143,29.0,605.0,linear,2017-06,0.7579548985,1013935,150.0,1559.0,0.0064313787,5.609333784,4.6760622252,120628,120636,5.0584692062,120628,4.3081270322,106738,KGHM,0.881021959,0
0.1748691977,7.0,1013935,0.1278760473,0.1616543467,163907,50,retain,5,-0.2043895474,-0.5414507261,163901,163907,-0.3911541859,163906,-0.6322749909,146093,28.1017650253,557.5995364594,28.0,371.0,xgboost,2017-06,0.6879050432,1013935,84.0,1219.0,0.0093497118,6.251133316,5.5766209222,163901,163907,5.8774757094,163906,5.2223333982,146093,KGHM,0.8383456533,0
0.1421984644,,1013935,0.094751636,0.1207996568,122483,50,retain,5,-0.2279305466,-0.6788837265,122475,122483,-0.4900145668,122475,-0.7560418932,108207,28.9176538785,787.1418868073,29.0,593.0,xgboost,2017-06,0.7564705824,1013935,150.0,1540.0,0.0065793172,5.8518190691,4.9493866928,122475,122483,5.3271552614,122475,4.5959774709,108207,KGHM,0.8792003432,0
0.0320238477,,1014775,0.0066310266,0.0081121431,8232,10,reset,0,0.1186842749,0.0898572339,8232,8232,0.1999613256,8232,0.2464340006,8232,7.320335277,844.8412859994,7.0,647.0,linear,2017-06,0.9610465374,1014775,200.0,1597.0,0.0002985884,4.4771862947,4.4195173258,8232,8232,4.6397095741,8232,4.7327109874,8232,KGHM,0.9918878569,0
0.0500682417,7.0,1014775,0.0149629228,0.0178482915,18112,10,reset,0,0.0478017537,-0.1137847571,18106,18112,0.0755535615,18112,0.0879840834,18112,7.1303003534,558.6343504718,7.0,367.0,xgboost,2017-06,0.9343164741,1014775,83.0,1214.0,0.0006523614,5.1815294417,4.8585295679,18106,18112,5.2370354495,18112,5.2619252178,18112,KGHM,0.9821517085,0
